codigo, titulo                      , secao              , grupo  , tipo
FWC00 , Logotipo da Panini          , FIFA World Cup 2026,        , Especial
FWC1  , Emblema Oficial (Parte 1)   , FIFA World Cup 2026,        , Especial
FWC2  , Emblema Oficial (Parte 2)   , FIFA World Cup 2026,        , Especial
FWC3  , Mascotes Oficiais           , FIFA World Cup 2026,        , Especial
FWC4  , Slogan Oficial              , FIFA World Cup 2026,        , Especial
FWC5  , Bola Oficial                , FIFA World Cup 2026,        , Especial
FWC6  , Escudo do Canada (Pais-Sede), FIFA World Cup 2026,        , Especial
FWC7  , Escudo do Mexico (Pais-Sede), FIFA World Cup 2026,        , Especial
FWC8  , Escudo dos EUA (Pais-Sede)  , FIFA World Cup 2026,        , Especial
FWC9  , Italia 1934                 , FIFA World Cup 2026,        , Especial
FWC10 , Uruguai 1950                , FIFA World Cup 2026,        , Especial
FWC11 , Alemanha 1954               , FIFA World Cup 2026,        , Especial
FWC12 , Brasil 1962                 , FIFA World Cup 2026,        , Especial
FWC13 , Alemanha 1974               , FIFA World Cup 2026,        , Especial
FWC14 , Argentina 1986              , FIFA World Cup 2026,        , Especial
FWC15 , Brasil 1994                 , FIFA World Cup 2026,        , Especial
FWC16 , Brasil 2002                 , FIFA World Cup 2026,        , Especial
FWC17 , Italia 2006                 , FIFA World Cup 2026,        , Especial
FWC18 , Alemanha 2014               , FIFA World Cup 2026,        , Especial
FWC19 , Argentina 2022              , FIFA World Cup 2026,        , Especial
MEX1  , Escudo                      , Mexico             , Grupo A, Especial
MEX2  , Luis Malagon                , Mexico             , Grupo A, Comum
MEX3  , Johan Vasquez               , Mexico             , Grupo A, Comum
MEX4  , Jorge Sanchez               , Mexico             , Grupo A, Comum
MEX5  , Cesar Montes                , Mexico             , Grupo A, Comum
MEX6  , Jesus Gallardo              , Mexico             , Grupo A, Comum
MEX7  , Israel Reyes                , Mexico             , Grupo A, Comum
MEX8  , Diego Lainez                , Mexico             , Grupo A, Comum
MEX9  , Carlos Rodriguez            , Mexico             , Grupo A, Comum
MEX10 , Edson Alvarez               , Mexico             , Grupo A, Comum
MEX11 , Orbelin Pineda              , Mexico             , Grupo A, Comum
MEX12 , Marcel Ruiz                 , Mexico             , Grupo A, Comum
MEX13 , Foto da Equipe              , Mexico             , Grupo A, Comum
